---config@允许编辑=是
---config@码表分类=主码-次显码表
---config@码表别名=罕用字·繁体字

#罕用字
梼	tcmc#序9178
枱	tdmk#序9177
螣	tgoi#序9176
䲢	tgoy#序9175
劏	thdx#序9174
镋	thje#序9173
蹚	thzt#序9172
擿	tifz#序9171
媂	tinj#序9170
䴘	tinp#序9169
媞	tinr#序9168
䏲	tiop#序9167
俶	tiry#序9166
啴	tjka#序9165
榃	tjmt#序9164
惔	tjxh#序9163
䗴	tkiz#序9162
桯	tkmw#序9161
侹	tkrz#序9160
圢	tktd#序9159
湉	tmdk#序9158
沺	tmdt#序9157
铦	tmjk#序9156
晪	tmob#序9155
兲	tmwb#序9154
㕮	tnkx#序9153
朓	tnod#序9152
啴	toka#序9151
侂	torq#序9150
讬	toyv#序9149
迆	tozx#序9148
劏	tsdx#序9147
峂	tsed#序9146
哃	tskk#序9145
橦	tsma#序9144
曈	tsoa#序9143
葖	tucq#序9142
唦	uakp#序9141
卲	uced#序9140
柖	ucmk#序9139
奓	uedd#序9138
畬	uert#序9137
棽	ufmg#序9136
脤	ufoy#序9135
侁	ufre#序9134
昇	ugoc#序9133
埫	uhtk#序9132
奭	uidb#序9131
浉	uidj#序9130
湜	uidr#序9129
栻	uimd#序9128
䴓	uina#序9127
䏡	uiox#序9126
蝨	uivi#序9125
嶦	ujek#序9124
掞	ujfh#序9123
晱	ujoh#序9122
睒	ujoj#序9121
墡	ujtl#序9120
藷	uuco#序9119
橾	uumm#序9118
婌	uuny#序9117
悆	uurx#序9116
奓	vadd#序9115
劄	vadv#序9114
拃	vafa#序9113
搾	vafa#序9112
挓	vafq#序9111
柤	vamq#序9110
䃎	vaud#序9109
旐	vcfd#序9108
櫂	vcmf#序9107
曌	vcog#序9106
擿	vdfz#序9105
喆	veuk#序9104
葴	vfcg#序9103
揕	vffv#序9102
昣	vfop#序9101
袗	vfpp#序9100
憕	vgxa#序9099
暲	vhou#序9098
茋	vicd#序9097
沚	vidv#序9096
扺	vifq#序9095
擿	vifz#序9094
榰	vimo#序9093
梽	vimx#序9092
姪	vint#序9091
晊	viot#序9090
衹	vipq#序9089
嶦	vjek#序9088
嵁	vjev#序9087
栴	vjmd#序9086
䓬	vocu#序9085
汋	vodd#序9084
䦃	vojo#序9083
柮	vome#序9082
棁	vome#序9081
椓	vomn#序9080
叕	voyy#序9079
柊	vsmd#序9078
苧	vucd#序9077
蠋	vuii#序9076
柷	vume#序9075
赒	vzbk#序9074
呪	vzke#序9073
椆	vzmk#序9072
婤	vznk#序9071
冑	vzyo#序9070
婠	wank#序9069
喎	wdkk#序9068
抆	wffw#序9067
榅	wfmm#序9066
缊	wfsm#序9065
忞	wfwx#序9064
汍	wjdd#序9063
妧	wjne#序9062
婠	wjnk#序9061
塆	wjtg#序9060
	wokn#序9059
㖞	wokn#序9058
偓	wort#序9057
屼	wuee#序9056
峿	wuek#序9055
旿	wuou#序9054
碔	wuud#序9053
薳	wwcz#序9052
峗	wwev#序9051
廆	wwgg#序9050
螱	wwui#序9049
亹	wwwq#序9048
伈	xbrx#序9047
屃	xibu#序9046
嶍	xieb#序9045
嶲	xieg#序9044
巇	xieg#序9043
䜣	xiij#序9042
噏	xiky#序9041
晞	xioj#序9040
暿	xiok#序9039
肸	xiou#序9038
傒	xird#序9037
俙	xirj#序9036
係	xirx#序9035
枲	xism#序9034
憙	xiux#序9033
窸	xixb#序9032
恓	xixx#序9031
婞	xknu#序9030
儴	xlry#序9029
崄	xmea#序9028
挦	xmfc#序9027
㬎	xmho#序9026
孅	xmig#序9025
铦	xmjk#序9024
狝	xmqx#序9023
伭	xmrd#序9022
僩	xmro#序9021
蟏	xnia#序9020
虓	xnjj#序9019
嘐	xnkp#序9018
鸮	xnnk#序9017
恔	xnxf#序9016
敩	xnxw#序9015
薢	xpcn#序9014
揳	xpfd#序9013
偰	xprd#序9012
㙦	xptr#序9011
脩	xqro#序9010
烜	xrha#序9009
咺	xrka#序9008
吅	xrkk#序9007
晅	xroa#序9006
暅	xroa#序9005
昡	xrod#序9004
暶	xror#序9003
衒	xrrd#序9002
伭	xrrd#序9001
瑄	xrwa#序9000
璿	xrwo#序8999
愃	xrxa#序8998
夐	xsdw#序8997
茓	xtcb#序8996
峃	xtxe#序8995
敩	xtxw#序8994
魆	xugg#序8993
欻	xuhq#序8992
歔	xuhq#序8991
媭	xunp#序8990
冔	xuoa#序8989
旴	xuoa#序8988
昫	xuok#序8987
勗	xuol#序8986
垿	xuta#序8985
谞	xuyo#序8984
烚	xxhk#序8983
煆	xxhy#序8982
嚇	xxkv#序8981
燻	xyhh#序8980
噀	xykc#序8979
栒	xymo#序8978
壎	xyth#序8977
	yajp#序8976
姶	yank#序8975
堐	yatt#序8974
慭	ybax#序8973
崟	ybej#序8972
䜣	ybij#序8971
蟫	ybiu#序8970
嚚	ybkk#序8969
慇	ybpx#序8968
歅	ybxq#序8967
峣	ycee#序8966
榣	ycmf#序8965
媱	ycnf#序8964
㙘	yctn#序8963
吔	yekx#序8962
楪	yemm#序8961
卬	yhep#序8960
飏	yhfp#序8959
宧	yiba#序8958
勚	yicl#序8957
勩	yicl#序8956
浥	yidv#序8955
㴔	yidx#序8954
廙	yigc#序8953
扅	yihd#序8952
扆	yihy#序8951
螠	yiim#序8950
匜	yiky#序8949
杙	yimd#序8948
栘	yimd#序8947
櫂	yimf#序8946
枍	yimv#序8945
椸	yimv#序8944
嫕	yinx#序8943
昳	yion#序8942
祎	yipa#序8941
乂	yipn#序8940
㑊	yird#序8939
佁	yirk#序8938
偯	yiry#序8937
帟	yiwj#序8936
裛	yiwy#序8935
叕	yiyy#序8934
迆	yizx#序8933
戭	yjbg#序8932
剦	yjdd#序8931
沇	yjde#序8930
掞	yjfh#序8929
扊	yjhh#序8928
虤	yjhj#序8927
蝘	yjik#序8926
匽	yjkn#序8925
䶮	yjld#序8924
棪	yjmh#序8923
梴	yjmz#序8922
嬿	yjnh#序8921
弇	yjrc#序8920
墕	yjth#序8919
黡	yjvi#序8918
歅	yjxq#序8917
䓨	ykcf#序8916
桯	ykmw#序8915
媖	yknn#序8914
薳	yrcz#序8913
蜎	yrio#序8912
妧	yrne#序8911
嫄	yrnx#序8910
埇	ysta#序8909
薁	yucd#序8908
滪	yudb#序8907
㳚	yudd#序8906
隩	yued#序8905
嵎	yued#序8904
棫	yumg#序8903
褕	yupd#序8902
㺄	yuqd#序8901
畬	yurt#序8900
悆	yurx#序8899
堉	yuto#序8898
